Full Name,Email,Age,Zip,Phone,Gender,City,State,Street,Major,Courses 1,Course 1 Name,Course 1 Details,Course 1 Section,Course 1 Section Limit,Course 1 HW_No,Course 1 HW_Details,Course 1 HW_Grade,Course 1 EXAM_No,Course 1 Exam_Details,Course 1 EXAM_Grade,Courses 2,Course 2 Name,Course 2 Details,Course 2 Section,Course 2 Section Limit,Course 2 HW_No,Course 2 HW_Details,Course 2 HW_Grade,Course 2 EXAM_No,Course 2 Exam_Details,Course 2 EXAM_Grade,Courses 3,Course 3 Name,Course 3 Details,Course 3 Section,Course 3 Section Limit,Course 3 HW_No,Course 3 HW_Details,Course 3 HW_Grade,Course 3 EXAM_No,Course 3 Exam_Details,Course 3 EXAM_Grade,Teaching Team ID
Mireya Pouros,mp8264@nittany.edu,22,60450,6896702170,M,Morris,Illinois,608 North Addison St. ,IST,CMPSC311,Introduction to Systems Programming,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,71.0,1.0,Closed book exam for 100 marks,98.0,CMPEN270,Embedded Systems Design,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,84.0,1.0,Closed book exam for 100 marks,66.0,PHYS212,Solid State Physics,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,60.0,1.0,Closed book exam for 100 marks,87.0,
Mrs. Daryl Beier,md9837@nittany.edu,21,61484,5501326697,M,Vermont,Illinois,495 Jockey Hollow Ave. ,STAT,CMPEN411,VLSI Digital Circuits,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,75.0,1.0,Closed book exam for 100 marks,86.0,MATH140,Calculus with Analytic Geometry,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,96.0,1.0,Closed book exam for 100 marks,71.0,CSE543,Computer Security,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,83.0,1.0,Closed book exam for 100 marks,66.0,
Marisol Crona,mc9587@nittany.edu,18,31216,5804212840,F,Macon,Georgia,7195 North Canterbury Circle ,CHEM,STAT319,Applied Statistics in Science,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,61.0,1.0,Closed book exam for 100 marks,86.0,DS120,Python for data science,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,79.0,1.0,Closed book exam for 100 marks,68.0,EE352,Design of Digital Circuits and Systems,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,98.0,1.0,Closed book exam for 100 marks,90.0,
Wava Anderson IV,wa5127@nittany.edu,18,47725,4279029711,M,Evansville,Indiana,141 Gulf Rd. ,DS,CMPEN351,Microprocessors,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,82.0,1.0,Closed book exam for 100 marks,67.0,CMPEN270,Embedded Systems Design,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,83.0,1.0,Closed book exam for 100 marks,69.0,EE212,Introduction to Signal Conditioning ,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,81.0,1.0,Closed book exam for 100 marks,60.0,
Miss Paul Hills,mp8748@nittany.edu,22,52208,2957321218,M,Belle Plaine,Iowa,26 Johnson St. ,MATH,CMPSC360,Discrete Mathematics for CMPSC,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,86.0,1.0,Closed book exam for 100 marks,85.0,CMPEN431,Introduction to Computer Architecture,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,86.0,1.0,Closed book exam for 100 marks,60.0,MATH231,Vector Calculus,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,82.0,1.0,Closed book exam for 100 marks,99.0,17.0
Velma Lebsack,vl5929@nittany.edu,21,50067,7759585308,M,Decatur,Iowa,9498 Newport Ave. ,CHEM,CMPSC497,Introduction to Data Mining,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,80.0,,,,CMPSC448,Machine Learning and Algorithmic AI,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,78.0,1.0,Closed book exam for 100 marks,66.0,EE211,Circuit Theory,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,82.0,1.0,Closed book exam for 100 marks,64.0,
Mrs. Deja Mosciski,md8760@nittany.edu,21,61028,5439138492,F,Elizabeth,Illinois,336 Myrtle Street ,CMPSC,CMPEN362,Communication Networks,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,96.0,1.0,Closed book exam for 100 marks,81.0,CMPSC497,Introduction to Data Mining,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,91.0,,,,PHYS214,General Physics: Wave Motion and Quantum Physics,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,65.0,1.0,Closed book exam for 100 marks,87.0,
Rosie Huel,rh1754@nittany.edu,22,62690,2172468219,M,Virden,Illinois,608 North Addison St. ,EE,EE211,Circuit Theory,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,76.0,1.0,Closed book exam for 100 marks,63.0,CHEM111,Experimental Chemistry,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,95.0,1.0,Closed book exam for 100 marks,63.0,CMPSC360,Discrete Mathematics for CMPSC,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,100.0,1.0,Closed book exam for 100 marks,60.0,
Marcelina Collins,mc2699@nittany.edu,19,32578,8838874047,M,Niceville,Florida,9236 El Dorado St. ,DS,CHEM112,Chemical Principles,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,77.0,1.0,Closed book exam for 100 marks,63.0,CMPEN362,Communication Networks,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,87.0,1.0,Closed book exam for 100 marks,67.0,CMPSC311,Introduction to Systems Programming,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,84.0,1.0,Closed book exam for 100 marks,67.0,
Joel Hammes,jh9891@nittany.edu,18,31523,9171947908,M,Brunswick,Georgia,863 Stillwater Road ,IST,EE212,Introduction to Signal Conditioning ,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,60.0,1.0,Closed book exam for 100 marks,90.0,CSE583,Pattern Recognition,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,85.0,1.0,Closed book exam for 100 marks,71.0,PHYS214,General Physics: Wave Motion and Quantum Physics,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,91.0,1.0,Closed book exam for 100 marks,79.0,
Ismael Von,iv6531@nittany.edu,19,47167,2034336028,F,Salem,Indiana,798 North Euclid Drive ,IST,CMPEN362,Communication Networks,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,71.0,1.0,Closed book exam for 100 marks,83.0,CSE583,Pattern Recognition,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,65.0,1.0,Closed book exam for 100 marks,75.0,CMPSC465,Data structures and algorithms,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,80.0,1.0,Closed book exam for 100 marks,62.0,
Ivory Reichert,ir2135@nittany.edu,19,32805,9826981428,M,Orlando,Florida,7 Arch Court ,DS,PHYS211,Thermal Physics,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,69.0,1.0,Closed book exam for 100 marks,63.0,EE311,Devices and Circuits I,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,68.0,1.0,Closed book exam for 100 marks,98.0,ECON201,Intermediate Microeconomic Analysis,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,63.0,1.0,Closed book exam for 100 marks,97.0,
Mae Rolfson,mr1874@nittany.edu,18,93033,2101365056,F,Oxnard,California,655 East Branch Dr. ,STAT,CHEM110,Environmental Chemistry,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,67.0,1.0,Closed book exam for 100 marks,78.0,CMPEN441,Operating Systems,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,84.0,1.0,Closed book exam for 100 marks,64.0,ECON102,Introductory Microeconomic Analysis and Policy,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,85.0,1.0,Closed book exam for 100 marks,100.0,
Rowland Roob V,rr7213@nittany.edu,21,61863,6689086160,F,Pesotum,Illinois,259 Cleveland Road ,CHEM,CMPSC448,Machine Learning and Algorithmic AI,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,94.0,1.0,Closed book exam for 100 marks,86.0,MATH140,Calculus with Analytic Geometry,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,76.0,1.0,Closed book exam for 100 marks,90.0,CMPEN431,Introduction to Computer Architecture,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,82.0,1.0,Closed book exam for 100 marks,97.0,
Rigoberto Huel,rh6801@nittany.edu,19,31774,7942899295,M,Ocilla,Georgia,8985 Cambridge Ave. ,CSE,EE353,Applied Electromagnetics,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,61.0,1.0,Closed book exam for 100 marks,94.0,CSE583,Pattern Recognition,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,92.0,1.0,Closed book exam for 100 marks,97.0,CMPEN454,Fundamentals of Computer Vision,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,68.0,,,,
Mr. Jasen Stracke,mj1770@nittany.edu,18,50171,8276695627,F,Montezuma,Iowa,18 Lakeview Street ,MATH,DS120,Python for data science,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,96.0,1.0,Closed book exam for 100 marks,79.0,CHEM111,Experimental Chemistry,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,81.0,1.0,Closed book exam for 100 marks,92.0,CHEM110,Environmental Chemistry,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,70.0,1.0,Closed book exam for 100 marks,76.0,25.0
Ms. Maci Schamberger,mm6107@nittany.edu,21,66515,9522318992,M,Morrill,Kansas,7313 Stillwater Lane ,IST,ECON201,Intermediate Microeconomic Analysis,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,100.0,1.0,Closed book exam for 100 marks,97.0,STAT319,Applied Statistics in Science,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,75.0,1.0,Closed book exam for 100 marks,95.0,CMPEN441,Operating Systems,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,94.0,1.0,Closed book exam for 100 marks,92.0,
Mrs. Amparo Bahringer,ma4550@nittany.edu,22,80116,2145286759,M,Franktown,Colorado,7313 Stillwater Lane ,MATH,CMPEN331,Computer Organization And Design,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,96.0,1.0,Closed book exam for 100 marks,75.0,CMPSC132,Programming and Computation II,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,63.0,1.0,Closed book exam for 100 marks,93.0,ECON101,Principles of Economics,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,86.0,1.0,Closed book exam for 100 marks,63.0,
Jarret Mante,jm2995@nittany.edu,22,46745,7554961530,F,Hoagland,Indiana,4 Old Academy Drive ,ECON,EE340,Design in Communications,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,65.0,,,,CHEM111,Experimental Chemistry,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,90.0,1.0,Closed book exam for 100 marks,65.0,ECON102,Introductory Microeconomic Analysis and Policy,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,98.0,1.0,Closed book exam for 100 marks,60.0,
Monica Zieme,mz7054@nittany.edu,19,33167,5595203401,F,Miami,Florida,9408 Anderson Court ,DS,CMPEN362,Communication Networks,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,98.0,1.0,Closed book exam for 100 marks,78.0,CMPSC448,Machine Learning and Algorithmic AI,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,73.0,1.0,Closed book exam for 100 marks,77.0,STAT318,Elementary Probability,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,60.0,1.0,Closed book exam for 100 marks,84.0,
Kevon McDermott,km3504@nittany.edu,21,61239,5055917243,M,Carbon Cliff,Illinois,7297 Applegate St. ,ECON,CHEM110,Environmental Chemistry,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,79.0,1.0,Closed book exam for 100 marks,95.0,CMPSC431W,DBMS,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,93.0,1.0,Closed book exam for 100 marks,89.0,EE212,Introduction to Signal Conditioning ,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,62.0,1.0,Closed book exam for 100 marks,90.0,
Ophelia Murphy,om9683@nittany.edu,19,32087,7419386430,F,Sanderson,Florida,232 W. Homewood Ave. ,STAT,CMPSC221,OOP with Web Design,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,71.0,1.0,Closed book exam for 100 marks,86.0,ECON102,Introductory Microeconomic Analysis and Policy,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,67.0,1.0,Closed book exam for 100 marks,74.0,EE352,Design of Digital Circuits and Systems,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,85.0,1.0,Closed book exam for 100 marks,66.0,
Jeanne Marquardt,jm6846@nittany.edu,18,50613,1271712657,M,Cedar Falls,Iowa,232 W. Homewood Ave. ,EE,MATH230,Ordinary and Partial Differential Equations,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,83.0,1.0,Closed book exam for 100 marks,83.0,CMPSC132,Programming and Computation II,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,97.0,1.0,Closed book exam for 100 marks,85.0,ECON102,Introductory Microeconomic Analysis and Policy,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,71.0,1.0,Closed book exam for 100 marks,73.0,
Jarrett Kessler,jk4828@nittany.edu,20,33016,7659200618,M,Hialeah,Florida,119 Harvey Street ,CMPEN,CMPEN431,Introduction to Computer Architecture,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,85.0,1.0,Closed book exam for 100 marks,92.0,CMPEN362,Communication Networks,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,91.0,1.0,Closed book exam for 100 marks,70.0,CMPEN270,Embedded Systems Design,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,78.0,1.0,Closed book exam for 100 marks,67.0,
Rafaela Legros,rl4225@nittany.edu,21,72856,1146304300,M,Pelsor,Arkansas,232 W. Homewood Ave. ,MATH,CMPEN362,Communication Networks,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,84.0,1.0,Closed book exam for 100 marks,63.0,CMPEN351,Microprocessors,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,66.0,1.0,Closed book exam for 100 marks,81.0,ECON201,Intermediate Microeconomic Analysis,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,84.0,1.0,Closed book exam for 100 marks,87.0,14.0
Madelynn Grimes,mg8599@nittany.edu,19,33704,5396276774,M,Saint Petersburg,Florida,7 Arch Court ,PHYS,IST128,Introduction to Python,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,83.0,1.0,Closed book exam for 100 marks,72.0,CHEM111,Experimental Chemistry,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,83.0,1.0,Closed book exam for 100 marks,63.0,ECON102,Introductory Microeconomic Analysis and Policy,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,62.0,1.0,Closed book exam for 100 marks,63.0,
Leonel Beahan V,lb9630@nittany.edu,20,80231,5641424241,F,Denver,Colorado,7764 Union Avenue ,PHYS,DS120,Python for data science,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,62.0,1.0,Closed book exam for 100 marks,60.0,CSE543,Computer Security,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,78.0,1.0,Closed book exam for 100 marks,100.0,CMPSC311,Introduction to Systems Programming,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,75.0,1.0,Closed book exam for 100 marks,98.0,
Price Parker,pp1200@nittany.edu,21,94041,7852021734,F,Mountain View,California,285 Dogwood Drive ,DS,PHYS211,Thermal Physics,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,88.0,1.0,Closed book exam for 100 marks,63.0,CMPSC475,Applications Programming,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,66.0,1.0,Closed book exam for 100 marks,61.0,EE340,Design in Communications,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,64.0,,,,
Stephen Ward,sw4720@nittany.edu,19,96035,4571077199,M,Gerber,California,308 Mammoth Dr. ,DS,CSE583,Pattern Recognition,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,62.0,1.0,Closed book exam for 100 marks,69.0,STAT415,Introduction to Mathematical Statistics,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,85.0,1.0,Closed book exam for 100 marks,65.0,STAT319,Applied Statistics in Science,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,84.0,1.0,Closed book exam for 100 marks,65.0,
Leon Morissette,lm1801@nittany.edu,21,61275,8503543829,F,Port Byron,Illinois,8401 Green Rd. ,STAT,DS220,Data Modelling,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,82.0,1.0,Closed book exam for 100 marks,70.0,CSE543,Computer Security,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,62.0,1.0,Closed book exam for 100 marks,86.0,MATH230,Ordinary and Partial Differential Equations,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,75.0,1.0,Closed book exam for 100 marks,60.0,
Mackenzie Halvorson,mh9954@nittany.edu,18,93060,9213972101,F,Santa Paula,California,18 Lakeview Street ,PHYS,EE211,Circuit Theory,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,80.0,1.0,Closed book exam for 100 marks,89.0,CMPSC475,Applications Programming,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,62.0,1.0,Closed book exam for 100 marks,84.0,PHYS213,General Physics: Electricity and Magnetism,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,67.0,1.0,Closed book exam for 100 marks,81.0,
Kara Wiegand I,kw1386@nittany.edu,21,83846,1872302192,M,Mullan,Idaho,232 W. Homewood Ave. ,ECON,CMPSC311,Introduction to Systems Programming,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,86.0,1.0,Closed book exam for 100 marks,75.0,CMPEN454,Fundamentals of Computer Vision,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,100.0,,,,EE330,Energy Systems,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,91.0,1.0,Closed book exam for 100 marks,84.0,
Pascale Abbott,pa6499@nittany.edu,21,60712,4855336848,M,Lincolnwood,Illinois,251 West Sheffield Drive ,CHEM,IST558,Data Mining 2,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,98.0,,,,CHEM110,Environmental Chemistry,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,68.0,1.0,Closed book exam for 100 marks,64.0,ECON101,Principles of Economics,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,61.0,1.0,Closed book exam for 100 marks,76.0,
Scot Will Jr.,sw3767@nittany.edu,20,61037,3096045240,M,Galt,Illinois,259 Cleveland Road ,EE,EE211,Circuit Theory,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,65.0,1.0,Closed book exam for 100 marks,82.0,CMPEN331,Computer Organization And Design,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,65.0,1.0,Closed book exam for 100 marks,74.0,EE352,Design of Digital Circuits and Systems,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,87.0,1.0,Closed book exam for 100 marks,95.0,
Rashad Larson,rl7115@nittany.edu,19,66711,7147344387,M,Arcadia,Kansas,7 Arch Court ,EE,IST110,"Introduction to Information, People And Technology",3 Credit Course.,2.0,60,1.0,Turn in this homework online!,72.0,1.0,Closed book exam for 100 marks,63.0,CMPSC132,Programming and Computation II,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,86.0,1.0,Closed book exam for 100 marks,64.0,CMPEN331,Computer Organization And Design,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,95.0,1.0,Closed book exam for 100 marks,86.0,
Savanna Brakus,sb4094@nittany.edu,21,60031,8307953481,M,Gurnee,Illinois,8378 West Pulaski Ave. ,STAT,EE211,Circuit Theory,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,88.0,1.0,Closed book exam for 100 marks,93.0,CSE543,Computer Security,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,60.0,1.0,Closed book exam for 100 marks,85.0,EE352,Design of Digital Circuits and Systems,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,73.0,1.0,Closed book exam for 100 marks,62.0,
Lolita Moore,lm3612@nittany.edu,20,30513,2716673702,F,Blue Ridge,Georgia,453 North Elm Dr. ,CHEM,MATH141,Matrices,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,65.0,1.0,Closed book exam for 100 marks,66.0,EE330,Energy Systems,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,74.0,1.0,Closed book exam for 100 marks,69.0,CSE543,Computer Security,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,71.0,1.0,Closed book exam for 100 marks,83.0,
Maritza McKenzie,mm7898@nittany.edu,19,90605,4257024505,M,Whittier,California,55 Hall St. ,ECON,STAT319,Applied Statistics in Science,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,72.0,1.0,Closed book exam for 100 marks,64.0,CMPSC461,Programming Language Concepts,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,84.0,1.0,Closed book exam for 100 marks,68.0,DS220,Data Modelling,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,96.0,1.0,Closed book exam for 100 marks,78.0,
Sammy Douglas V,sd7475@nittany.edu,22,47725,1048154077,F,Evansville,Indiana,780 East Redwood Drive ,MATH,EE340,Design in Communications,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,75.0,,,,STAT319,Applied Statistics in Science,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,61.0,1.0,Closed book exam for 100 marks,100.0,CMPSC360,Discrete Mathematics for CMPSC,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,93.0,1.0,Closed book exam for 100 marks,95.0,
Marta Zieme DDS,mz3667@nittany.edu,22,95660,9378580824,M,North Highlands,California,4 Old Academy Drive ,CMPSC,CHEM110,Environmental Chemistry,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,84.0,1.0,Closed book exam for 100 marks,73.0,CSE543,Computer Security,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,80.0,1.0,Closed book exam for 100 marks,97.0,EE330,Energy Systems,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,85.0,1.0,Closed book exam for 100 marks,98.0,
Mrs. Oma Veum,mo1767@nittany.edu,21,85009,6641556204,F,Phoenix,Arizona,119 Harvey Street ,MATH,CSE583,Pattern Recognition,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,91.0,1.0,Closed book exam for 100 marks,61.0,MATH230,Ordinary and Partial Differential Equations,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,75.0,1.0,Closed book exam for 100 marks,72.0,PHYS213,General Physics: Electricity and Magnetism,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,100.0,1.0,Closed book exam for 100 marks,94.0,
Marco Schaefer,ms1481@nittany.edu,18,86545,4559956078,M,Rock Point,Arizona,55 Hall St. ,DS,ECON101,Principles of Economics,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,88.0,1.0,Closed book exam for 100 marks,81.0,STAT414,Introduction to Probability Theory,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,65.0,,,,EE320,Network Security and Cryptography,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,98.0,1.0,Closed book exam for 100 marks,88.0,
Wilson Runte,wr2752@nittany.edu,18,47201,4283274867,M,Columbus,Indiana,26 Johnson St. ,ECON,DS120,Python for data science,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,78.0,1.0,Closed book exam for 100 marks,79.0,EE320,Network Security and Cryptography,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,92.0,1.0,Closed book exam for 100 marks,87.0,CMPEN362,Communication Networks,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,99.0,1.0,Closed book exam for 100 marks,77.0,
Odessa Upton,ou9392@nittany.edu,22,90704,4639285087,F,Avalon,California,8687 N. Sleepy Hollow Court ,CHEM,MATH141,Matrices,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,90.0,1.0,Closed book exam for 100 marks,84.0,CMPSC221,OOP with Web Design,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,66.0,1.0,Closed book exam for 100 marks,67.0,CMPEN331,Computer Organization And Design,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,68.0,1.0,Closed book exam for 100 marks,73.0,
Melyna Lindgren,ml9111@nittany.edu,19,32003,9979973361,F,Fleming Island,Florida,8378 West Pulaski Ave. ,CMPSC,DS220,Data Modelling,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,72.0,1.0,Closed book exam for 100 marks,86.0,EE211,Circuit Theory,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,91.0,1.0,Closed book exam for 100 marks,82.0,PHYS213,General Physics: Electricity and Magnetism,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,61.0,1.0,Closed book exam for 100 marks,85.0,
Leon Hettinger,lh5555@nittany.edu,19,30802,1182771078,M,Appling,Georgia,8687 N. Sleepy Hollow Court ,MATH,ECON102,Introductory Microeconomic Analysis and Policy,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,98.0,1.0,Closed book exam for 100 marks,74.0,CMPSC448,Machine Learning and Algorithmic AI,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,63.0,1.0,Closed book exam for 100 marks,94.0,MATH140,Calculus with Analytic Geometry,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,90.0,1.0,Closed book exam for 100 marks,93.0,
Retha Schamberger,rs3074@nittany.edu,22,61928,2614023020,F,Gays,Illinois,185 E. Trenton Street ,MATH,CMPEN411,VLSI Digital Circuits,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,89.0,1.0,Closed book exam for 100 marks,77.0,STAT319,Applied Statistics in Science,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,92.0,1.0,Closed book exam for 100 marks,97.0,CMPEN331,Computer Organization And Design,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,88.0,1.0,Closed book exam for 100 marks,91.0,
Mr. Brionna Padberg,mb2986@nittany.edu,22,50428,4112460267,M,Clear Lake,Iowa,860 Wakehurst Dr. ,CSE,STAT319,Applied Statistics in Science,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,90.0,1.0,Closed book exam for 100 marks,77.0,EE353,Applied Electromagnetics,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,98.0,1.0,Closed book exam for 100 marks,87.0,MATH141,Matrices,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,78.0,1.0,Closed book exam for 100 marks,87.0,
Myrtie Hilpert,mh2194@nittany.edu,21,72367,4646400043,F,Mellwood,Arkansas,336 Myrtle Street ,EE,DS120,Python for data science,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,86.0,1.0,Closed book exam for 100 marks,63.0,CMPEN351,Microprocessors,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,61.0,1.0,Closed book exam for 100 marks,96.0,CMPEN270,Embedded Systems Design,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,87.0,1.0,Closed book exam for 100 marks,61.0,
Shayna Greenfelder V,sg9224@nittany.edu,18,93616,9742430924,F,Del Rey,California,83 Corona Street ,CHEM,ECON201,Intermediate Microeconomic Analysis,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,95.0,1.0,Closed book exam for 100 marks,79.0,EE210,Continuous Time Linear Systems,3 Credit Course.,2.0,60,1.0,Turn in this homework online!,83.0,1.0,Closed book exam for 100 marks,65.0,CMPSC131,Programming and Computation,3 Credit Course.,1.0,70,1.0,Turn in this homework online!,88.0,1.0,Closed book exam for 100 marks,61.0,
